;PIMCO GIS Income E Cl EUR Hgd Inc;M&G Optimal Income EUR A-H Gross Acc (Hedged);Carmignac Patrimoine A EUR acc;DWS Top Dividende LD;Nordea 1 - Stable Return BP EUR;PrivatFonds: Kontrolliert;Flossbach von Storch - Multiple Opportunities R;iShares Core DAX UCITS (DE) ETF;DWS Deutschland LC;Allianz Europe Equity Growth AT-EUR
Date;;;;;;;;;;
31-Oct-2007;;0,0095;0,0455;0,0191;0,0000;;0,0006;0,0200;0,0366;0,0182
30-Nov-2007;;-0,0031;-0,0351;-0,0353;-0,0073;;-0,0262;-0,0187;-0,0179;-0,0296
31-Dec-2007;;-0,0015;0,0087;0,0176;-0,0064;;0,0162;0,0249;0,0041;-0,0145
31-Jan-2008;;-0,0049;-0,0248;-0,0968;-0,0395;;-0,0372;-0,1508;-0,1266;-0,1351
29-Feb-2008;;-0,0075;0,0313;0,0218;0,0067;;0,0399;-0,0153;0,0334;0,0378
31-Mar-2008;;-0,0032;-0,0394;-0,0529;-0,0171;;-0,0179;-0,0316;-0,0224;-0,0442
30-Apr-2008;;0,0198;0,0271;0,0576;0,0271;;0,0179;0,0631;0,0619;0,0380
31-May-2008;;-0,0004;0,0044;0,0528;0,0085;;0,0595;0,0211;0,0373;0,0276
30-Jun-2008;;-0,0146;-0,0201;-0,0661;-0,0345;;-0,0492;-0,0957;-0,1136;-0,0980
31-Jul-2008;;0,0040;-0,0068;-0,0226;0,0019;;-0,0108;0,0094;0,0142;0,0081
31-Aug-2008;;0,0212;-0,0004;0,0174;0,0212;;0,0217;-0,0090;-0,0010;0,0158
30-Sep-2008;;-0,0337;-0,0243;-0,1315;-0,0359;;-0,1558;-0,0921;-0,1412;-0,1113
31-Oct-2008;;-0,0791;0,0047;-0,0931;-0,0510;;-0,0484;-0,1446;-0,1994;-0,1688
30-Nov-2008;;0,0179;0,0407;-0,0598;0,0052;;0,0317;-0,0641;-0,0006;-0,0487
31-Dec-2008;;0,0253;0,0111;-0,0364;0,0092;;0,0220;0,0299;0,0879;0,0058
31-Jan-2009;;0,0254;0,0257;0,0269;-0,0153;;0,0128;-0,0982;-0,0928;0,0045
28-Feb-2009;;0,0122;-0,0007;-0,0595;-0,0310;;-0,0589;-0,1140;-0,0974;-0,0622
31-Mar-2009;;0,0004;0,0256;-0,0051;0,0203;;0,0313;0,0625;0,0354;0,0034
30-Apr-2009;;0,0452;0,0314;0,1041;0,0345;;0,0783;0,1674;0,1931;0,1574
31-May-2009;;0,0548;0,0344;0,0342;0,0152;;0,0437;0,0353;0,0546;0,0711
30-Jun-2009;;0,0285;-0,0136;-0,0077;0,0179;;0,0314;-0,0269;-0,0095;-0,0018
31-Jul-2009;;0,0506;0,0214;0,0629;0,0313;;0,0613;0,1088;0,1007;0,0828
31-Aug-2009;;0,0339;0,0013;0,0252;0,0095;;0,0513;0,0247;0,0565;0,0441
30-Sep-2009;;0,0214;0,0187;0,0262;0,0188;;0,0317;0,0384;0,0498;0,0488
