Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Dec-05;133,7;220,4;157,2;196,6;120;216,9;155,5;96;228;91;46,1;107,5;40,3;47,4;92,7;145,4;142,2;157;162,6;243;122,2;235,8;113,9;196;238,1;124,5;134,5;149,1;157,7;113,7;176,9;181,5;237,4
Mar-06;140,5;235,4;165,2;209,6;126;233,4;161,7;100,6;233,6;94,4;48,4;110,2;42,3;49,2;99,6;148;147,9;156,4;172,2;272,5;135,5;271,5;121,6;204,9;243,1;131,4;139,6;156,6;176,9;117,9;178,5;187;243,4
Jun-06;145,8;249,3;176,9;217,4;129,8;247,3;169,2;101,7;245,2;98,4;48,4;108,6;42,6;48,6;98,6;156,5;151;162,5;181,4;260,9;139,4;267,5;121,2;226,7;284,8;133,9;151,1;162,2;168;115,6;187,2;198,6;256,7
Sep-06;151,7;259,4;186,4;223,5;135,1;260,7;176,6;107,8;253,1;101,1;49,2;114,3;43,2;49,6;100,7;156,5;158,1;179,1;185,5;273,8;147,3;293,3;126,7;247;303,4;138,6;148,8;169,5;167,1;120,5;196,9;201,5;264,4
Dec-06;167,3;281,5;218,3;261,6;148,2;306;195,7;110,7;266,1;108,9;52,6;122,3;46,8;52;107,6;176,2;170,3;196,3;207,4;322,1;164,2;320,5;137,4;273,4;355,4;151,1;153,4;186,9;183,7;129,5;204,6;212,6;283,3
Mar-07;176;308,6;229,5;282;156,9;315,2;208,8;115,1;271,1;113,7;53,5;123,5;47,1;53,4;109,2;180;180,3;206,4;223,3;329,7;170,6;331,5;141;287,9;379,1;158,6;156;199,6;187,9;131,5;219,4;217;288,5
Jun-07;190,5;350,1;255,7;294,6;170,3;337;229,5;126,2;297,4;118,3;56,5;132,3;50,4;55,6;113,3;178;192,8;221,6;250,8;379,4;185,5;299,8;150,5;327,1;415,3;171;166,6;217,8;198,2;140,3;231,1;235,4;317,5
Sep-07;195,7;351,9;264;299,9;176;335,2;237,1;148,7;302,9;123,9;57,8;135,4;51,3;57,1;118,6;192,1;199,9;224,9;259,8;434,5;188,6;307;154,2;353,4;429,9;174,9;171,7;225,4;194,1;142,9;243,7;240,7;323,8
Dec-07;200,1;355,2;263,7;301,1;181,4;325,5;241,8;157,2;297,1;128,7;62,5;129,1;57;58,5;128,8;210,8;208,3;234,8;261,1;450,4;187,8;266,6;150,6;373,4;429,5;179,1;177,4;230,4;180,8;136,2;254,3;240,2;318,6
Mar-08;197;351,2;257,8;310,5;178,7;315,5;241,1;148,6;289,5;126,9;59,3;116,9;52,4;58;127;212,4;204,2;232,9;261,5;401,2;171,8;272,3;137,1;357,1;452,4;174,6;179,4;228,5;162,9;123,2;262,6;236,1;308,4
Jun-08;196;370,3;250,3;306,5;177,1;308,6;237,7;145,1;289,8;128,4;59,3;113,8;52,6;57,9;124,6;213,4;208;233;254,7;398;165,4;257,4;135,2;342;432,3;175;182,9;226,1;163,9;121,2;259,4;237,9;309,7
Sep-08;182,1;362,4;246,8;295;163,6;296,7;216,4;133,7;256;124,8;57,3;104,2;51,2;55,1;121,4;203,5;195,8;222,3;226,1;291,1;131,1;271,3;114,7;322,4;374,6;164,4;182,3;207,5;162,1;110,6;253,6;215,1;273,5
