Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;Change;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;Change;% Change;Bloomberg Baa Corporate Total Return Index;Change;% Change;Bloomberg Global Treasury Total Return Index;Change;% Change;Bloomberg Global Agg Corporate Total Return Index;Change;% Change;;;;;
30.09.2016;244,0074;-0,179;-0,073304656;249,3145;0,6199;0,249261544;789,302;-0,4533;-0,057397526;620,5047;4,889;0,794164281;247,7884;-0,0721;-0,029088943;;;;;
31.08.2016;244,1864;0,5775;0,237060304;248,6946;-1,4662;-0,586103019;789,7553;3,1339;0,398400044;615,6157;-5,5903;-0,899910819;247,8605;0,4398;0,177753923;;;;;
29.07.2016;243,6089;4,019;1,677449675;250,1608;0,4224;0,169136985;786,6214;13,2559;1,714053704;621,206;2,9677;0,480025259;247,4207;4,1745;1,716162472;;;;;
30.06.2016;239,5899;2,2761;0,959109837;249,7384;6,711;2,761417025;773,3655;18,4597;2,445298473;618,2383;24,7037;4,162133092;243,2462;3,534;1,474267893;;;;;
31.05.2016;237,3138;0,8064;0,340961847;243,0274;2,4464;1,016871657;754,9058;-0,8201;-0,108518181;593,5346;-10,4884;-1,736423944;239,7122;-1,8021;-0,746166997;;;;;
29.04.2016;236,5074;0,6286;0,266492792;240,581;-2,2253;-0,91649187;755,7259;13,8856;1,871777524;604,023;9,8381;1,655730396;241,5143;3,3827;1,420517059;;;;;
31.03.2016;235,8788;3,2457;1,395201285;242,8063;-0,694;-0,285009916;741,8403;25,9711;3,627911356;594,1849;15,5676;2,690482984;238,1316;8,5481;3,723307642;;;;;
29.02.2016;232,6331;1,0607;0,458042496;243,5003;3,7144;1,549048547;715,8692;5,2815;0,74325801;578,6173;18,247;3,256239669;229,5835;1,8008;0,790578038;;;;;
29.01.2016;231,5724;1,3659;0,593336852;239,7859;5,8785;2,513174017;710,5877;-1,8522;-0,259979824;560,3703;6,537;1,18031906;227,7827;0,0748;0,032849102;;;;;
31.12.2015;230,2065;-1,8947;-0,816324948;233,9074;-2,4292;-1,027856032;712,4399;-9,1319;-1,265556664;553,8333;5,1707;0,942418893;227,7079;-0,6996;-0,306294671;;;;;
30.11.2015;232,1012;1,5787;0,684835537;236,3366;0,3532;0,149671545;721,5718;-3,2799;-0,452492558;548,6626;-11,5607;-2,063587859;228,4075;-2,5454;-1,102129482;;;;;
30.10.2015;230,5225;3,269;1,438481696;235,9834;1,2426;0,529349819;724,8517;3,8559;0,534802006;560,2233;0,584;0,104352929;230,9529;1,3658;0,594894051;;;;;
30.09.2015;227,2535;-1,6005;-0,699354173;234,7408;2,8784;1,241425949;720,9958;3,5342;0,492597792;559,6393;4,7494;0,855917543;229,5871;0,1058;0,046103974;;;;;
31.08.2015;228,854;-1,8426;-0,798711381;231,8624;-2,1909;-0,936068836;717,4616;-6,6732;-0,921541127;554,8899;2,155;0,389879488;229,4813;-1,1423;-0,49530924;;;;;
31.07.2015;230,6966;2,8452;1,248708588;234,0533;3,3707;1,461185196;724,1348;3,0182;0,41854535;552,7349;1,2686;0,230041255;230,6236;0,9136;0,397718863;;;;;
30.06.2015;227,8514;-4,5819;-1,9712752;230,6826;-5,0558;-2,144665443;721,1166;-15,2134;-2,066111662;551,4663;-1,031;-0,186607247;229,71;-2,7344;-1,176367338;;;;;
29.05.2015;232,4333;-1,059;-0,453548147;235,7384;-2,5363;-1,064443686;736,33;-5,1961;-0,700730561;552,4973;-13,5737;-2,397879418;232,4444;-2,6394;-1,122748569;;;;;
30.04.2015;233,4923;-1,1655;-0,496680698;238,2747;-3,3888;-1,402280444;741,5261;-5,4778;-0,733302731;566,071;6,2713;1,120275699;235,0838;1,7502;0,750084857;;;;;
31.03.2015;234,6578;-0,3392;-0,144342268;241,6635;3,6826;1,547435109;747,0039;2,154;0,289185781;559,7997;-5,7912;-1,023920293;233,3336;-2,4269;-1,029392116;;;;;
27.02.2015;234,997;1,3595;0,581884329;237,9809;-0,5132;-0,21518352;744,8499;-5,3617;-0,714691695;565,5909;-6,8368;-1,194351706;235,7605;-1,3146;-0,554507833;;;;;
30.01.2015;233,6375;2,1276;0,919010375;238,4941;5,3606;2,299369246;750,2116;21,3638;2,931174382;572,4277;-0,2445;-0,042694582;237,0751;0,9562;0,404965464;;;;;
31.12.2014;231,5099;1,2569;0,545877795;233,1335;2,8015;1,216287793;728,8478;-1,8115;-0,24792677;572,6722;-3,6046;-0,625498025;236,1189;-1,4914;-0,627666393;;;;;
28.11.2014;230,253;1,2918;0,564200397;230,332;2,1178;0,927987829;730,6593;4,0424;0,556331679;576,2768;-4,9783;-0,856474206;237,6103;0,6889;0,290771539;;;;;
31.10.2014;228,9612;0,9933;0,435719239;228,2142;1,3678;0,602963062;726,6169;6,586;0,914682967;581,2551;-1,842;-0,315899359;236,9214;0,9417;0,39905975;;;;;
30.09.2014;227,9679;0,4014;0,176388001;226,8464;-0,3697;-0,16270854;720,0309;-11,9371;-1,630822659;583,0971;-20,5779;-3,408771276;235,9797;-5,5902;-2,31411281;;;;;
29.08.2014;227,5665;2,603;1,157076592;227,2161;4,3021;1,929937106;731,968;10,7505;1,490604429;603,675;2,5791;0,42906631;241,5699;2,0005;0,835039867;;;;;
31.07.2014;224,9635;1,1116;0,496578318;222,914;1,2949;0,584290794;721,2175;-0,3118;-0,043213768;601,0959;-5,8593;-0,965359552;239,5694;-1,5552;-0,644977742;;;;;
30.06.2014;223,8519;1,2493;0,561224352;221,6191;1,2856;0,583479135;721,5293;1,278;0,177438069;606,9552;5,0383;0,837042456;241,1246;1,2398;0,516831412;;;;;
30.05.2014;222,6026;1,9715;0,893573028;220,3335;2,2144;1,015225168;720,2513;10,8999;1,5366009;601,9169;2,6559;0,44319587;239,8848;1,8638;0,783040152;;;;;
30.04.2014;220,6311;2,012;0,920322149;218,1191;1,2972;0,598279048;709,3514;10,0293;1,434146011;599,261;6,8231;1,151698769;238,021;3,1527;1,342326742;;;;;
31.03.2014;218,6191;0,9158;0,420664271;216,8219;0,7558;0,349800362;699,3221;1,7136;0,245639209;592,4379;-0,7592;-0,127984442;234,8683;0,1669;0,071111634;;;;;
28.02.2014;217,7033;1,2186;0,562903522;216,0661;0,2603;0,120617704;697,6085;8,7678;1,272834198;593,1971;8,1916;1,400260339;234,7014;3,7655;1,630539037;;;;;
31.01.2014;216,4847;2,9054;1,360337823;215,8058;4,4444;2,10274913;688,8407;13,2877;1,966936717;585,0055;7,7604;1,3443856;230,9359;2,0255;0,884844026;;;;;
31.12.2013;213,5793;-0,9237;-0,430623348;211,3614;-2,3931;-1,119555378;675,553;0,0387;0,005728968;577,2451;-5,5364;-0,949995839;228,9104;0,0101;0,004412401;;;;;
29.11.2013;214,503;0,5204;0,243197344;213,7545;-0,1142;-0,053397248;675,5143;-1,1372;-0,16806288;582,7815;-7,0328;-1,192375295;228,9003;-0,2833;-0,123612684;;;;;
31.10.2013;213,9826;2,4323;1,149750201;213,8687;0,9943;0,467082937;676,6515;11,6718;1,755211475;589,8143;5,425;0,928319529;229,1836;3,137;1,387766947;;;;;
30.09.2013;211,5503;1,4092;0,670597042;212,8744;1,5335;0,725604935;664,9797;4,3512;0,658645517;584,3893;11,8429;2,068461176;226,0466;4,159;1,87437243;;;;;
30.08.2013;210,1411;-0,4362;-0,207144835;211,3409;-2,1253;-0,995614294;660,6285;-4,8024;-0,721697775;572,5464;-2,1644;-0,376606808;221,8876;-1,4335;-0,641900832;;;;;
31.07.2013;210,5773;1,7672;0,846319215;213,4662;0,6359;0,298782645;665,4309;5,9334;0,899684987;574,7108;7,5837;1,337213475;223,3211;3,4544;1,571133782;;;;;
28.06.2013;208,8101;-3,4901;-1,643945696;212,8303;-2,1502;-1,000183738;659,4975;-21,1884;-3,112801367;567,1271;-3,6304;-0,636066981;219,8667;-5,4444;-2,416392268;;;;;
31.05.2013;212,3002;-0,3905;-0,183599941;214,9805;-3,1923;-1,463197979;680,6859;-15,9845;-2,294413542;570,7575;-20,7463;-3,50738237;225,3111;-5,5752;-2,414695025;;;;;
30.04.2013;212,6907;2,8947;1,379768918;218,1728;1,1592;0,534160071;696,6704;13,4686;1,971394103;591,5038;6,035;1,030797884;230,8863;5,3509;2,372532206;;;;;
29.03.2013;209,796;1,0782;0,516582678;217,0136;2,1011;0,977653696;683,2018;1,3529;0,198416394;585,4688;-1,868;-0,318045796;225,5354;-0,3228;-0,142921532;;;;;
28.02.2013;208,7178;2,6123;1,267457686;214,9125;2,6046;1,226803148;681,8489;5,3022;0,7837153;587,3368;-7,1425;-1,201471607;225,8582;-1,1624;-0,512024019;;;;;
31.01.2013;206,1055;-2,5286;-1,211978291;212,3079;-3,9459;-1,824661578;676,5467;-5,3562;-0,785478402;594,4793;-8,7033;-1,442896397;227,0206;-1,0972;-0,480979564;;;;;
31.12.2012;208,6341;2,0513;0,992967469;216,2538;1,7252;0,80418182;681,9029;1,4726;0,216421873;603,1826;-5,7685;-0,947284601;228,1178;1,189;0,523952887;;;;;
30.11.2012;206,5828;1,7507;0,85470002;214,5286;0,9462;0,443014031;680,4303;-1,6374;-0,240064146;608,9511;-1,2307;-0,201693987;226,9288;0,4865;0,214845018;;;;;
31.10.2012;204,8321;2,3052;1,13821917;213,5824;-0,3347;-0,15646248;682,0677;11,2944;1,68378795;610,1818;-3,9169;-0,637829066;226,4423;2,5613;1,144045274;;;;;
28.09.2012;202,5269;1,5462;0,769327602;213,9171;-1,1163;-0,519128656;670,7733;6,6798;1,005852339;614,0987;7,7943;1,285542378;223,881;3,1996;1,449872984;;;;;
